Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,21,11,7,5,9,8,17,47.1,9,12,0,12,9,30,5,0,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,38,20,17,19,2,13,22,59.1,9,27,16,11,56,94,190,4,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,69,35,27,29,13,32,56,57.1,24,35,10,25,60,129,59,2,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,95,58,28,51,16,55,104,52.9,49,61,6,55,22,117,29,1,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,40,26,25,13,2,25,35,71.4,10,29,15,14,17,57,133,3,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,38,20,14,19,5,17,45,37.8,28,39,5,34,9,47,19,2,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,39,22,25,10,4,31,51,60.8,20,10,4,6,21,60,54,2,Matches
Alisson,br BRA,GK,31.0,27.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,Matches
Luis Díaz,co COL,FW,27.0,26.7,39,26,13,20,6,15,39,38.5,24,19,0,19,7,46,7,1,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,72,50,44,19,9,49,105,46.7,56,26,9,17,31,103,55,4,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,28,16,6,13,9,13,25,52.0,12,23,3,20,12,40,19,1,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,39,22,6,23,10,17,27,63.0,10,22,9,13,7,46,10,3,Matches
Diogo Jota,pt POR,FW,27.0,13.3,14,8,2,8,4,7,19,36.8,12,9,0,9,8,22,6,0,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,31,20,15,11,5,14,23,60.9,9,5,2,3,11,42,20,0,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,21,18,11,4,6,7,18,38.9,11,6,0,6,4,25,12,0,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,14,10,7,5,2,11,22,50.0,11,9,2,7,4,18,31,0,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,13,10,5,7,1,11,16,68.8,5,9,6,3,7,20,20,2,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,12,8,8,4,0,7,10,70.0,3,10,7,3,7,19,28,1,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,5,3,3,1,1,2,8,25.0,6,7,2,5,1,6,3,1,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,12,8,7,5,0,6,10,60.0,4,8,1,7,6,18,9,0,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,1,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,27.2,38.0,642,391,271,267,104,340,656,51.8,316,367,97,270,299,941,724,31,
Opponent Total,,,26.1,38.0,660,402,358,228,74,310,611,50.7,301,462,183,279,320,980,1094,42,
