Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Unnamed: 21_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,1,0,0,25,39,18,79,9,11,0,0,0,101,9,14,39.1,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,5,0,0,17,13,0,1,56,20,0,0,0,115,119,46,72.1,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,6,1,0,47,52,0,7,60,35,0,0,0,193,26,14,65.0,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,6,0,0,62,40,2,86,22,58,0,0,0,148,19,34,35.8,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,5,0,0,27,20,0,0,17,26,0,0,0,98,74,29,71.8,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,6,0,0,44,24,4,41,9,20,0,0,0,133,19,23,45.2,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,3,1,0,11,8,3,147,21,22,0,1,1,105,7,14,33.3,Matches
Alisson,br BRA,GK,31.0,27.9,0,0,0,0,2,0,0,0,0,0,0,0,47,7,0,100.0,Matches
Luis Díaz,co COL,FW,27.0,26.7,2,0,0,48,31,10,32,7,26,2,0,0,105,13,38,25.5,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,5,0,0,11,9,1,153,31,50,0,0,0,132,3,13,18.8,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,5,0,0,20,31,5,74,12,16,1,0,0,77,17,26,39.5,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,3,1,1,18,25,1,8,7,22,1,0,0,97,14,13,51.9,Matches
Diogo Jota,pt POR,FW,27.0,13.3,2,0,0,23,14,1,8,8,8,1,0,0,41,22,32,40.7,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,100.0,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,2,0,0,9,6,1,64,11,20,0,0,0,31,5,8,38.5,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,8,0,0,27,14,12,3,4,18,1,0,0,41,20,33,37.7,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,4,0,0,12,14,1,7,4,10,0,0,0,51,11,7,61.1,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,1,0,0,2,3,0,2,7,10,0,0,0,34,9,4,69.2,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,2,0,0,9,1,0,2,7,8,0,1,1,19,7,10,41.2,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,1,0,0,0,1,1,12,1,3,0,0,0,15,1,2,33.3,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,0,0,0,15,7,0,1,6,8,0,0,0,14,3,4,42.9,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,0,0,0,3,2,0,2,0,0,0,0,0,6,0,4,0.0,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,27.2,38.0,67,3,1,430,359,60,729,299,391,6,2,2,1621,406,368,52.5,
Opponent Total,,,26.1,38.0,84,2,2,371,419,96,500,320,402,2,9,1,1576,368,406,47.5,
