Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Unnamed: 5_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 20_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,1263,1227,30,7,19,3,79,23,0,0,0,0,892,6,62,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,2935,2708,224,86,1,22,1,8,0,0,0,0,2688,3,9,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,1927,1889,32,16,8,7,7,10,0,0,0,0,1718,6,15,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,1905,1856,46,41,1,5,0,5,0,0,0,0,1718,3,9,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,1322,1202,118,21,5,14,41,36,17,9,6,0,1114,2,27,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,1885,1579,300,50,4,6,147,191,59,41,11,0,1559,6,35,Matches
Alisson,br BRA,GK,31.0,27.9,959,836,121,41,1,1,0,0,0,0,0,0,794,2,1,Matches
Luis Díaz,co COL,FW,27.0,26.7,874,855,17,2,2,9,32,14,1,0,0,0,736,2,24,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,1971,1651,310,63,12,32,153,192,55,34,12,1,1448,10,36,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,634,616,16,4,3,4,74,11,1,0,0,0,480,2,10,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,1097,1037,58,11,2,2,8,28,1,0,0,0,1021,2,10,Matches
Diogo Jota,pt POR,FW,27.0,13.3,310,305,3,0,1,2,8,1,0,0,0,0,216,2,15,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,654,536,116,12,1,1,64,63,41,32,6,0,550,2,9,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,230,225,4,0,1,6,3,2,0,0,0,0,163,1,13,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,544,471,71,13,0,2,7,58,0,0,0,0,456,2,12,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,392,360,32,10,0,1,2,12,0,0,0,0,356,0,2,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,292,267,22,2,1,3,12,8,6,3,1,0,240,3,4,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,194,188,6,2,0,0,1,4,0,0,0,0,182,0,2,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,31,30,1,0,0,0,2,1,0,0,0,0,27,0,1,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.2,38.0,21759,19999,1700,448,69,128,729,682,252,145,72,1,18304,60,330,
Opponent Total,,,26.1,38.0,15957,14217,1644,465,66,73,500,569,139,81,21,5,12622,96,312,
