Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Unnamed: 28_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,892,1263,70.6,13343,3919,501,601,83.4,302,433,69.7,59,100,59.0,18,14.2,9.1,3.8,88,53,93,15,144,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,2688,2935,91.6,49037,19110,1100,1143,96.2,1333,1397,95.4,229,341,67.2,1,0.7,1.0,0.3,12,290,7,0,198,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,1718,1927,89.2,25904,6528,917,991,92.5,680,737,92.3,64,104,61.5,4,3.1,3.5,0.9,26,151,35,2,181,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,1273,1524,83.5,20344,5748,658,729,90.3,493,558,88.4,89,160,55.6,5,4.7,5.6,0.3,45,122,35,2,177,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,1718,1905,90.2,31820,10824,592,631,93.8,1023,1077,95.0,94,171,55.0,2,1.0,0.9,1.0,10,143,9,0,115,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,1114,1322,84.3,17528,3641,601,671,89.6,366,416,88.0,95,133,71.4,6,7.4,5.9,-1.4,56,88,33,5,131,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,1559,1885,82.7,26310,8407,760,806,94.3,672,779,86.3,110,237,46.4,1,4.6,4.3,-3.6,40,150,31,17,176,Matches
Alisson,br BRA,GK,31.0,27.9,794,959,82.8,17555,11360,229,232,98.7,426,433,98.4,137,289,47.4,0,0.6,0.2,-0.6,1,12,0,0,1,Matches
Luis Díaz,co COL,FW,27.0,26.7,736,874,84.2,11789,2533,394,445,88.5,254,295,86.1,60,74,81.1,5,5.0,4.5,0.0,56,48,46,6,110,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,1448,1971,73.5,27901,11363,632,704,89.8,589,771,76.4,203,418,48.6,6,7.3,7.4,-1.3,52,207,65,20,232,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,480,634,75.7,6870,1656,298,343,86.9,149,225,66.2,19,36,52.8,4,4.4,3.8,-0.4,38,24,27,8,52,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,1021,1097,93.1,15072,3158,584,605,96.5,373,404,92.3,40,53,75.5,3,1.1,1.6,1.9,22,84,19,1,117,Matches
Diogo Jota,pt POR,FW,27.0,13.3,216,310,69.7,3313,829,113,147,76.9,79,104,76.0,13,23,56.5,3,1.8,1.1,1.2,11,29,3,1,34,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,289,382,75.7,6252,3968,99,99,100.0,147,147,100.0,43,135,31.9,0,0.0,0.0,0.0,0,6,0,0,0,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,550,654,84.1,9357,3100,267,282,94.7,222,253,87.7,49,96,51.0,1,2.1,2.3,-1.1,16,42,12,4,76,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,163,230,70.9,2390,587,89,111,80.2,48,65,73.8,13,20,65.0,2,1.3,0.5,0.7,11,9,3,1,27,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,456,544,83.8,6875,1711,261,286,91.3,175,198,88.4,12,36,33.3,2,1.4,1.4,0.6,7,26,3,1,33,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,377,425,88.7,6689,2299,155,170,91.2,191,204,93.6,26,42,61.9,0,0.1,0.1,-0.1,2,29,0,0,35,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,356,392,90.8,6327,2038,137,141,97.2,196,212,92.5,20,32,62.5,0,0.1,0.2,-0.1,2,22,1,0,19,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,240,292,82.2,4164,1016,120,130,92.3,91,108,84.3,22,33,66.7,2,1.1,0.7,0.9,10,26,6,0,44,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,182,194,93.8,2833,700,91,97,93.8,77,80,96.3,8,8,100.0,0,0.1,0.1,-0.1,2,16,1,0,19,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,27,31,87.1,373,131,17,18,94.4,6,8,75.0,2,2,100.0,0,0.2,0.2,-0.2,2,4,1,0,3,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,1,1,100.0,6,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Squad Total,,,27.2,38.0,18304,21759,84.1,312354,104899,8616,9383,91.8,7893,8905,88.6,1412,2550,55.4,65,61.6,54.3,3.4,509,1583,430,83,1924,
Opponent Total,,,26.1,38.0,12622,15957,79.1,216073,79156,5991,6722,89.1,5211,6052,86.1,1078,2250,47.9,28,29.4,25.2,-1.4,283,842,210,49,1091,
