Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Mohamed Salah,eg EGY,FW,32.0,37.5,1695,11,97,500,1119,356,1686,137,58,42.3,72,52.6,1149,6973,3695,154,59,126,116,67,1407,488,Matches
Virgil van Dijk,nl NED,DF,33.0,37.0,3301,450,1318,1827,166,48,3301,5,3,60.0,2,40.0,1856,8754,4846,22,24,3,10,5,2281,6,Matches
Ryan Gravenberch,nl NED,MF,22.0,35.1,2343,117,509,1354,512,26,2343,81,37,45.7,30,37.0,1396,7452,3742,70,75,10,55,26,1669,55,Matches
Alexis Mac Allister,ar ARG,MF,25.0,28.9,1860,56,284,960,637,60,1860,42,16,38.1,21,50.0,914,3773,2009,36,43,5,31,22,1227,80,Matches
Ibrahima Konaté,fr FRA,DF,25.0,28.4,2185,223,928,1145,119,23,2185,6,3,50.0,2,33.3,1290,6124,3603,25,15,0,8,2,1576,3,Matches
Dominik Szoboszlai,hu HUN,MF,23.0,27.7,1584,32,220,761,626,104,1584,41,21,51.2,17,41.5,805,4223,2372,72,49,18,37,23,1073,127,Matches
Andrew Robertson,sct SCO,DF,30.0,27.6,2084,92,539,940,620,53,2084,18,7,38.9,10,55.6,1107,4941,2848,64,52,6,25,13,1399,108,Matches
Alisson,br BRA,GK,31.0,27.9,1011,742,991,20,0,0,1011,1,1,100.0,0,0.0,658,2625,1586,0,0,0,1,0,618,0,Matches
Luis Díaz,co COL,FW,27.0,26.7,1184,17,90,409,706,167,1184,116,53,45.7,51,44.0,780,5710,2960,108,55,56,55,49,933,293,Matches
Trent Alexander-Arnold,eng ENG,DF,25.0,26.3,2252,88,593,1013,660,44,2252,37,17,45.9,17,45.9,1183,5353,2860,51,36,9,19,15,1436,94,Matches
Cody Gakpo,nl NED,FW,25.0,21.5,888,28,91,258,557,110,888,61,31,50.8,21,34.4,605,4320,2208,59,34,28,45,24,677,278,Matches
Curtis Jones,eng ENG,"MF,DF",23.0,19.0,1288,41,220,683,393,58,1288,22,12,54.5,8,36.4,789,3889,1892,30,23,8,26,36,967,79,Matches
Diogo Jota,pt POR,FW,27.0,13.3,485,6,35,198,259,97,485,33,11,33.3,20,60.6,263,1500,796,37,23,21,40,22,333,88,Matches
Caoimhín Kelleher,ie IRL,GK,25.0,10.0,398,286,396,2,0,0,398,1,1,100.0,0,0.0,290,1131,616,0,0,0,1,0,275,0,Matches
Kostas Tsimikas,gr GRE,DF,28.0,9.3,741,33,190,327,229,13,741,12,5,41.7,5,41.7,368,1567,790,17,8,2,6,4,472,43,Matches
Darwin Núñez,uy URU,FW,25.0,12.6,366,10,45,122,210,74,366,23,8,34.8,14,60.9,201,1063,568,23,19,12,24,21,248,78,Matches
Conor Bradley,nir NIR,DF,21.0,8.4,663,32,197,299,178,43,663,25,10,40.0,12,48.0,369,2332,1356,35,22,9,13,5,411,39,Matches
Joe Gomez,eng ENG,DF,27.0,5.8,481,54,183,264,37,5,481,0,0,,0,,303,1638,947,5,2,1,1,2,335,2,Matches
Jarell Quansah,eng ENG,DF,21.0,5.5,464,80,245,189,30,6,464,3,1,33.3,2,66.7,268,1421,709,3,4,1,5,2,321,4,Matches
Harvey Elliott,eng ENG,MF,21.0,4.1,339,5,32,164,144,21,339,9,4,44.4,4,44.4,188,872,408,10,11,5,5,4,253,30,Matches
Wataru Endo,jp JPN,"MF,DF",31.0,3.0,237,12,65,124,49,3,237,2,2,100.0,0,0.0,110,397,169,1,3,1,6,3,163,8,Matches
Federico Chiesa,it ITA,FW,26.0,1.2,46,2,10,15,21,4,46,2,0,0.0,2,100.0,31,130,58,3,1,1,3,4,33,7,Matches
Vitezslav Jaros,cz CZE,GK,23.0,0.1,8,5,8,0,0,0,8,0,0,,0,,7,29,8,0,0,0,0,0,5,0,Matches
Jayden Danns,eng ENG,MF,18.0,0.1,2,0,0,0,2,0,2,0,0,,0,,1,2,1,0,0,0,0,1,1,0,Matches
Squad Total,,,27.2,38.0,25905,2422,7286,11574,7274,1315,25896,677,301,44.5,310,45.8,14931,76219,41047,825,558,322,532,350,18113,1910,
Opponent Total,,,26.1,38.0,20431,3165,8090,8087,4493,779,20429,740,316,42.7,340,45.9,10761,62102,32543,683,408,241,541,302,12508,1074,
